,0
0,1
1,1
2,1
3,2
4,1
5,1
6,1
7,2
8,1
9,1
10,1
11,1
12,1
13,1
14,5
15,1
16,2
17,1
18,5
19,1
20,2
21,2
22,5
23,1
24,1
25,2
26,1
27,1
28,1
29,5
30,2
31,1
32,1
33,2
34,1
35,1
36,1
37,2
38,1
39,1
40,2
41,2
42,1
43,1
44,1
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,2
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,2
68,2
69,1
70,1
71,1
72,4
73,1
74,2
75,1
76,2
77,0
78,1
79,1
80,1
81,1
82,2
83,2
84,1
85,1
86,1
87,2
88,2
89,1
90,2
91,1
92,2
93,2
94,2
95,1
96,1
97,1
98,2
99,1
100,1
101,5
102,1
103,1
104,2
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,1
113,1
114,1
115,1
116,1
117,2
118,5
119,2
120,1
121,1
122,1
123,2
124,0
125,1
126,1
127,2
128,1
129,2
130,1
131,1
132,1
133,0
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,2
148,1
149,2
150,1
151,2
152,1
153,1
154,1
155,1
156,2
157,1
158,2
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,2
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,2
185,1
186,2
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,2
195,1
196,1
197,1
198,0
199,2
200,2
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,2
212,1
213,2
214,1
215,2
216,2
217,1
218,2
219,2
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,2
228,1
229,2
230,1
231,5
232,1
233,2
234,2
235,1
236,1
237,1
238,2
239,2
240,1
241,5
242,2
243,1
244,2
245,1
246,2
247,2
248,1
249,2
250,2
251,1
252,2
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,2
265,1
266,1
267,0
268,1
269,2
270,2
271,1
272,2
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,2
283,1
284,2
285,1
286,0
287,1
288,1
289,1
290,2
291,2
292,1
293,2
294,0
295,1
296,2
297,1
298,2
299,1
300,1
301,1
302,2
303,1
304,1
305,5
306,2
307,1
308,2
309,1
310,2
311,2
312,2
313,1
314,1
315,2
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,5
342,1
343,2
344,2
345,2
346,1
347,1
348,1
349,2
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,5
358,1
359,1
360,1
361,2
362,2
363,1
364,1
365,1
366,2
367,1
368,1
369,2
370,2
371,1
372,2
373,1
374,1
375,1
376,1
377,1
378,2
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,5
387,5
388,1
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,2
402,1
403,1
404,2
405,1
406,2
407,2
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,2
417,1
418,1
419,2
420,1
421,1
422,2
423,1
424,1
425,2
426,2
427,2
428,1
429,0
430,2
431,2
432,2
433,2
434,1
435,1
436,1
437,1
438,2
439,1
440,2
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,2
450,1
451,5
452,1
453,1
454,1
455,1
456,2
457,2
458,1
459,2
460,2
461,1
462,5
463,1
464,1
465,2
466,1
467,2
468,1
469,1
470,2
471,5
472,1
473,1
474,0
475,1
476,1
477,2
478,2
479,0
480,0
481,1
482,2
483,1
484,1
485,2
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,2
494,1
495,1
496,1
497,1
498,1
499,1
500,2
501,2
502,1
503,1
504,1
505,1
506,1
507,1
508,5
509,1
510,1
511,1
512,1
513,5
514,1
515,1
516,1
517,5
518,2
519,2
520,1
521,2
522,2
523,1
524,2
525,1
526,1
527,1
528,5
529,1
530,1
531,1
532,2
533,2
534,1
535,1
536,5
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,3
547,1
548,1
549,2
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,2
558,2
559,2
560,2
561,0
562,2
563,5
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,2
574,5
575,1
576,2
577,1
578,1
579,0
580,1
581,1
582,1
583,2
584,5
585,1
586,5
587,1
588,1
589,1
590,1
591,2
592,1
593,2
594,2
595,2
596,2
597,2
598,1
599,1
600,1
601,1
602,2
603,1
604,2
605,1
606,0
607,2
608,1
609,1
610,1
611,1
612,1
613,1
614,0
615,1
616,1
617,1
618,1
619,1
620,2
621,1
622,2
623,0
624,1
625,2
626,2
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,2
646,2
647,2
648,1
649,1
650,1
651,1
652,1
653,0
654,2
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,2
665,1
666,1
667,1
668,1
